trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-158.40515214068105,"{0: 14, 1: 8, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-38.4700788781077,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-160.7958053182995,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-130.42030233732484,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-90.2326094599389,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-166.6817847747805,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-76.7307182553767,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-143.6973962963956,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-192.88239428734616,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,7,-20.969781269883143,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,10,-40.06948471773193,"{0: 4, 1: 3, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,15,-22.79235113024373,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-118.56799023471325,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,0,-95.56915629267098,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-121.24814745545311,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-132.164122355347,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,11,-58.55737805251441,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-102.55531483121358,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-181.20444743142411,"{0: 7, 1: 2, 2: 6, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-107.79774191654218,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-119.92952545632464,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-76.4080109977373,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-83.97650885730172,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-85.70695413630965,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-169.0569684615308,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-167.0224240911591,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-167.65900295525347,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",30,0,-91.95157541292465,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-115.65716493853877,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",35,5,-100.57765491240804,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-195.2729210118325,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 5}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,4,-83.99536729039414,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",30,0,-175.58459159533376,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",30,0,-101.90006663307419,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,14,-42.70410953388164,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-84.60789979928808,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-94.02179700349498,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-97.77695486811473,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,14,10.574504311418595,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-131.61933365342784,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-60.09770327408308,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",35,0,-139.92980020325393,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,15,8.85251691325607,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,0,-99.16720645614122,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,5,-47.93262691706548,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",30,0,-32.649379091175476,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-92.3312643626833,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
