trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-144.5763265115212,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-202.75898522609293,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-175.29197856105282,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-157.95923026935253,"{0: 9, 1: 2, 2: 4, 3: 4, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",35,0,-265.9679764419759,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-127.84789587449201,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,1,-55.594062344201234,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-71.03708864842557,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-37.12576900553103,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-72.73562490718474,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-114.453187281293,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-207.74104185769758,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-91.0516442990311,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-71.43530020990714,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-76.7812096867312,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-171.42972335784606,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-54.459627043869794,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-165.59587331398916,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-105.29178672609669,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,14,-108.67355502075799,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-72.93447281464437,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
