trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-43.27028343647641,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-167.63502015136055,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-135.70958493923123,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-114.58051763160447,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-96.42663101864319,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,15,-6.041655983317677,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-150.36127419919814,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-117.43041052189518,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-29.45207109770111,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",35,0,-151.6272302869116,"{0: 21, 1: 3, 2: 8, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-100.84447801555251,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-108.47278344190791,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-35.16336921600637,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-96.4159741626803,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-168.66729759247158,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-78.64037584329498,"{0: 16, 1: 5, 2: 1, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-165.51329804636129,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,14,-9.703583577546052,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-90.04766322384519,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-84.20145613471459,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-190.11905261180158,"{0: 7, 1: 4, 2: 4, 3: 3, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-87.47968625025652,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-140.26710868030557,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,0,-76.66609146646141,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-93.6033986954537,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-91.68144564491193,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-182.47777755765193,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-48.64614840925589,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-180.70975112142312,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-148.9505813886257,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
